Row Labels,ProductCombo,,,,,,,,,,,,,,,,,,,,,,,,,,
19156795775,7640,7790,7960,,,,,,,,,,,,,,,,,,,,,,,,
19156795776,7830,8520,,,,,,,,,,,,,,,,,,,,,,,,,
19156795780,1250,2010,7860,,,,,,,,,,,,,,,,,,,,,,,,
19156795782,7610,7667,7740,,,,,,,,,,,,,,,,,,,,,,,,
19156795783,4127,7780,,,,,,,,,,,,,,,,,,,,,,,,,
19156795785,1900,7610,,,,,,,,,,,,,,,,,,,,,,,,,
19156795786,7690,8010,,,,,,,,,,,,,,,,,,,,,,,,,
19156795787,1051,1250,7710,,,,,,,,,,,,,,,,,,,,,,,,
19156795788,3350,5800,7850,7980,,,,,,,,,,,,,,,,,,,,,,,
19156795789,7780,7830,,,,,,,,,,,,,,,,,,,,,,,,,
19156795791,3400,9149,9169,,,,,,,,,,,,,,,,,,,,,,,,
19156795792,6100,6210,7780,,,,,,,,,,,,,,,,,,,,,,,,
19156795798,7609,7619,7659,7679,7809,8737,,,,,,,,,,,,,,,,,,,,,
19156795804,1250,2010,3700,7690,,,,,,,,,,,,,,,,,,,,,,,
19156795806,5009,5209,,,,,,,,,,,,,,,,,,,,,,,,,
19156795807,7780,8710,,,,,,,,,,,,,,,,,,,,,,,,,
19156795809,1900,2040,2320,4800,5900,7600,7730,7860,7980,8010,,,,,,,,,,,,,,,,,
19156795810,2017,7827,,,,,,,,,,,,,,,,,,,,,,,,,
19156795811,6007,6210,7690,,,,,,,,,,,,,,,,,,,,,,,,
19156795812,5800,6240,,,,,,,,,,,,,,,,,,,,,,,,,
19156795816,1900,6200,7697,,,,,,,,,,,,,,,,,,,,,,,,
19156795820,7670,7960,,,,,,,,,,,,,,,,,,,,,,,,,
19156795821,2010,3600,,,,,,,,,,,,,,,,,,,,,,,,,
19156795823,1900,2010,,,,,,,,,,,,,,,,,,,,,,,,,
19156795825,2010,7820,,,,,,,,,,,,,,,,,,,,,,,,,
19156795827,6200,6210,7770,,,,,,,,,,,,,,,,,,,,,,,,
19156795830,2010,7720,7770,7790,7980,,,,,,,,,,,,,,,,,,,,,,
19156795834,1159,2040,3400,7697,7739,,,,,,,,,,,,,,,,,,,,,,
19156795836,1900,2017,,,,,,,,,,,,,,,,,,,,,,,,,
19156795837,5800,6110,7660,,,,,,,,,,,,,,,,,,,,,,,,
19156795840,7617,7840,8017,,,,,,,,,,,,,,,,,,,,,,,,
19156795842,5700,6217,7829,,,,,,,,,,,,,,,,,,,,,,,,
19156795843,2320,6100,7880,7980,,,,,,,,,,,,,,,,,,,,,,,
19156795845,2017,7740,7770,7980,,,,,,,,,,,,,,,,,,,,,,,
19156795846,3400,7960,,,,,,,,,,,,,,,,,,,,,,,,,
19156795847,9130,9160,,,,,,,,,,,,,,,,,,,,,,,,,
19156795852,6007,6100,7820,7980,9945,,,,,,,,,,,,,,,,,,,,,,
19156795853,4120,4890,7780,,,,,,,,,,,,,,,,,,,,,,,,
19156795859,6007,6207,,,,,,,,,,,,,,,,,,,,,,,,,
19156795860,7820,7960,,,,,,,,,,,,,,,,,,,,,,,,,
19156795863,7810,7900,,,,,,,,,,,,,,,,,,,,,,,,,
19156795864,2130,91580,,,,,,,,,,,,,,,,,,,,,,,,,
19156795865,4910,5009,5900,7740,,,,,,,,,,,,,,,,,,,,,,,
19156795869,7660,7840,,,,,,,,,,,,,,,,,,,,,,,,,
19156795870,5900,7660,,,,,,,,,,,,,,,,,,,,,,,,,
19156795871,1250,7860,,,,,,,,,,,,,,,,,,,,,,,,,
19156795872,2130,2760,7820,,,,,,,,,,,,,,,,,,,,,,,,
19156795877,2010,7800,,,,,,,,,,,,,,,,,,,,,,,,,
19156795879,2010,7780,7789,7850,,,,,,,,,,,,,,,,,,,,,,,
19156795880,2010,8725,,,,,,,,,,,,,,,,,,,,,,,,,
19156795881,6110,6210,,,,,,,,,,,,,,,,,,,,,,,,,
19156795885,3257,3400,6007,6117,7770,7980,,,,,,,,,,,,,,,,,,,,,
19156795887,1150,4820,7850,9180,,,,,,,,,,,,,,,,,,,,,,,
19156795888,1000,1151,1210,2130,7760,7900,8740,,,,,,,,,,,,,,,,,,,,
19156795889,1460,1860,7610,7830,,,,,,,,,,,,,,,,,,,,,,,
19156795891,2750,7770,7820,7830,9945,,,,,,,,,,,,,,,,,,,,,,
19156795892,4820,7620,7740,7780,7820,,,,,,,,,,,,,,,,,,,,,,
19156795893,7740,7780,7800,,,,,,,,,,,,,,,,,,,,,,,,
19156795895,2010,6100,,,,,,,,,,,,,,,,,,,,,,,,,
19156795896,4757,7690,,,,,,,,,,,,,,,,,,,,,,,,,
19156795897,1460,91531,,,,,,,,,,,,,,,,,,,,,,,,,
19156795900,2010,8725,,,,,,,,,,,,,,,,,,,,,,,,,
19156795903,1151,2010,,,,,,,,,,,,,,,,,,,,,,,,,
19156795906,2560,9170,9180,,,,,,,,,,,,,,,,,,,,,,,,
19156795911,2010,7640,7660,7830,,,,,,,,,,,,,,,,,,,,,,,
19156795912,2130,7840,,,,,,,,,,,,,,,,,,,,,,,,,
19156795913,2040,6210,9120,,,,,,,,,,,,,,,,,,,,,,,,
19156795914,2040,2049,7650,7659,7790,,,,,,,,,,,,,,,,,,,,,,
19156795916,4120,7610,,,,,,,,,,,,,,,,,,,,,,,,,
19156795917,1050,1250,1860,3500,7670,8700,8740,9120,,,,,,,,,,,,,,,,,,,
19156795918,2017,3100,5000,6110,6117,,,,,,,,,,,,,,,,,,,,,,
19156795921,7900,8740,,,,,,,,,,,,,,,,,,,,,,,,,
19156795922,2019,7829,7969,8509,,,,,,,,,,,,,,,,,,,,,,,
19156795923,1900,2010,5900,,,,,,,,,,,,,,,,,,,,,,,,
19156795925,1051,1250,1860,7640,7720,,,,,,,,,,,,,,,,,,,,,,
19156795928,6100,7790,7820,,,,,,,,,,,,,,,,,,,,,,,,
19156795929,6210,7820,,,,,,,,,,,,,,,,,,,,,,,,,
19156795930,5909,7729,7969,,,,,,,,,,,,,,,,,,,,,,,,
19156795932,2010,7910,9140,,,,,,,,,,,,,,,,,,,,,,,,
19156795933,1101,2010,,,,,,,,,,,,,,,,,,,,,,,,,
19156795934,1460,9140,,,,,,,,,,,,,,,,,,,,,,,,,
19156795935,4860,7780,,,,,,,,,,,,,,,,,,,,,,,,,
19156795939,1560,3250,6210,7740,7780,7830,7900,7910,7960,7980,9120,,,,,,,,,,,,,,,,
19156795941,7800,7900,,,,,,,,,,,,,,,,,,,,,,,,,
19156795942,6100,6117,,,,,,,,,,,,,,,,,,,,,,,,,
19156795945,1907,2010,8720,,,,,,,,,,,,,,,,,,,,,,,,
19156795946,6007,7780,7870,,,,,,,,,,,,,,,,,,,,,,,,
19156795951,1050,6110,,,,,,,,,,,,,,,,,,,,,,,,,
19156795954,2010,2800,7860,,,,,,,,,,,,,,,,,,,,,,,,
19156795956,4707,6130,9160,,,,,,,,,,,,,,,,,,,,,,,,
19156795959,6007,8700,,,,,,,,,,,,,,,,,,,,,,,,,
19156795960,7650,7670,7790,,,,,,,,,,,,,,,,,,,,,,,,
19156795961,2019,2049,3409,9109,9189,,,,,,,,,,,,,,,,,,,,,,
19156795962,7650,7660,,,,,,,,,,,,,,,,,,,,,,,,,
19156795963,2320,7610,8500,,,,,,,,,,,,,,,,,,,,,,,,
19156795967,1900,7820,,,,,,,,,,,,,,,,,,,,,,,,,
19156795968,1150,7690,7780,7820,8700,8730,,,,,,,,,,,,,,,,,,,,,
19156795971,2010,4820,7610,8720,,,,,,,,,,,,,,,,,,,,,,,
19156795972,1350,2010,7660,7780,,,,,,,,,,,,,,,,,,,,,,,
19156795973,7840,9110,,,,,,,,,,,,,,,,,,,,,,,,,
19156795976,7820,7980,,,,,,,,,,,,,,,,,,,,,,,,,
19156795979,1900,2760,,,,,,,,,,,,,,,,,,,,,,,,,
19156795981,2010,6240,,,,,,,,,,,,,,,,,,,,,,,,,
19156795982,2010,4850,,,,,,,,,,,,,,,,,,,,,,,,,
19156795983,1051,2040,2130,4757,7650,7690,7770,7860,7880,,,,,,,,,,,,,,,,,,
19156795988,9150,9170,,,,,,,,,,,,,,,,,,,,,,,,,
19156795989,1100,1350,7690,7827,7969,,,,,,,,,,,,,,,,,,,,,,
19156795990,1150,1151,,,,,,,,,,,,,,,,,,,,,,,,,
19156795993,6007,8509,,,,,,,,,,,,,,,,,,,,,,,,,
19156796001,6007,6210,,,,,,,,,,,,,,,,,,,,,,,,,
19156796002,7780,7820,7830,,,,,,,,,,,,,,,,,,,,,,,,
19156796005,1469,9110,9139,9149,,,,,,,,,,,,,,,,,,,,,,,
19156796006,2750,7790,,,,,,,,,,,,,,,,,,,,,,,,,
19156796008,2017,6007,7827,7900,,,,,,,,,,,,,,,,,,,,,,,
19156796015,1059,1469,1869,2809,7609,9129,9139,,,,,,,,,,,,,,,,,,,,
19156796021,7960,8017,,,,,,,,,,,,,,,,,,,,,,,,,
19156796022,1050,1259,1460,1860,2809,,,,,,,,,,,,,,,,,,,,,,
19156796023,1900,6210,,,,,,,,,,,,,,,,,,,,,,,,,
19156796027,2010,3350,,,,,,,,,,,,,,,,,,,,,,,,,
19156796028,2040,2049,,,,,,,,,,,,,,,,,,,,,,,,,
19156796036,7780,7800,,,,,,,,,,,,,,,,,,,,,,,,,
19156796039,7640,7840,,,,,,,,,,,,,,,,,,,,,,,,,
19156796040,7610,7980,9150,,,,,,,,,,,,,,,,,,,,,,,,
19156796041,1151,2560,7697,,,,,,,,,,,,,,,,,,,,,,,,
19156796043,1250,7820,,,,,,,,,,,,,,,,,,,,,,,,,
19156796047,6007,6100,6130,6210,7780,9180,,,,,,,,,,,,,,,,,,,,,
19156796050,7650,7820,,,,,,,,,,,,,,,,,,,,,,,,,
19156796051,2050,7650,7730,,,,,,,,,,,,,,,,,,,,,,,,
19156796052,4757,6130,,,,,,,,,,,,,,,,,,,,,,,,,
19156796054,5800,7770,,,,,,,,,,,,,,,,,,,,,,,,,
19156796057,3609,5009,6200,7820,,,,,,,,,,,,,,,,,,,,,,,
19156796066,2010,7650,,,,,,,,,,,,,,,,,,,,,,,,,
19156796071,1719,3409,,,,,,,,,,,,,,,,,,,,,,,,,
19156796075,7717,7807,7827,,,,,,,,,,,,,,,,,,,,,,,,
19156796077,2320,7770,,,,,,,,,,,,,,,,,,,,,,,,,
19156796082,2040,2750,,,,,,,,,,,,,,,,,,,,,,,,,
19156796084,3350,7710,7770,7830,,,,,,,,,,,,,,,,,,,,,,,
19156796090,1350,3400,,,,,,,,,,,,,,,,,,,,,,,,,
19156796096,1900,2010,,,,,,,,,,,,,,,,,,,,,,,,,
19156796098,2010,2040,2320,,,,,,,,,,,,,,,,,,,,,,,,
19156796101,2010,7669,7819,,,,,,,,,,,,,,,,,,,,,,,,
19156796103,7670,7760,7820,,,,,,,,,,,,,,,,,,,,,,,,
19156796104,7710,8010,,,,,,,,,,,,,,,,,,,,,,,,,
19156796106,3400,7980,,,,,,,,,,,,,,,,,,,,,,,,,
19156796107,6130,7650,,,,,,,,,,,,,,,,,,,,,,,,,
19156796108,7720,7760,7860,7880,9100,9130,,,,,,,,,,,,,,,,,,,,,
19156796109,2017,7827,,,,,,,,,,,,,,,,,,,,,,,,,
19156796110,2130,7800,,,,,,,,,,,,,,,,,,,,,,,,,
19156796113,2130,2800,7740,7760,7840,7860,,,,,,,,,,,,,,,,,,,,,
19156796114,2010,8700,,,,,,,,,,,,,,,,,,,,,,,,,
19156796115,3600,7660,,,,,,,,,,,,,,,,,,,,,,,,,
19156796119,7660,7820,,,,,,,,,,,,,,,,,,,,,,,,,
19156796120,1560,7740,,,,,,,,,,,,,,,,,,,,,,,,,
19156796121,1350,6100,6210,,,,,,,,,,,,,,,,,,,,,,,,
19156796122,1900,6130,6240,,,,,,,,,,,,,,,,,,,,,,,,
19156796123,1150,1151,,,,,,,,,,,,,,,,,,,,,,,,,
19156796124,5700,7690,,,,,,,,,,,,,,,,,,,,,,,,,
19156796126,1460,3250,7860,,,,,,,,,,,,,,,,,,,,,,,,
19156796127,1560,2010,3400,7780,7830,,,,,,,,,,,,,,,,,,,,,,
19156796129,6100,7770,7980,,,,,,,,,,,,,,,,,,,,,,,,
19156796130,1151,1560,7760,,,,,,,,,,,,,,,,,,,,,,,,
19156796131,1150,9150,,,,,,,,,,,,,,,,,,,,,,,,,
19156796132,1900,2010,,,,,,,,,,,,,,,,,,,,,,,,,
19156796133,2320,3400,7650,,,,,,,,,,,,,,,,,,,,,,,,
19156796135,2010,7770,,,,,,,,,,,,,,,,,,,,,,,,,
19156796136,7827,7980,,,,,,,,,,,,,,,,,,,,,,,,,
19156796137,6130,7730,,,,,,,,,,,,,,,,,,,,,,,,,
19156796138,7980,8017,,,,,,,,,,,,,,,,,,,,,,,,,
19156796139,2320,7960,,,,,,,,,,,,,,,,,,,,,,,,,
19156796140,7600,7687,,,,,,,,,,,,,,,,,,,,,,,,,
19156796151,1051,1860,7730,7770,7857,7969,8010,,,,,,,,,,,,,,,,,,,,
19156796156,7770,7790,,,,,,,,,,,,,,,,,,,,,,,,,
19156796157,1350,3400,7720,8705,,,,,,,,,,,,,,,,,,,,,,,
19156796158,1350,3400,,,,,,,,,,,,,,,,,,,,,,,,,
19156796159,1560,7780,8730,,,,,,,,,,,,,,,,,,,,,,,,
19156796160,3400,9150,9160,,,,,,,,,,,,,,,,,,,,,,,,
19156796161,6007,7800,9170,,,,,,,,,,,,,,,,,,,,,,,,
19156796165,2010,7720,7760,,,,,,,,,,,,,,,,,,,,,,,,
19156796173,2019,5569,7609,7730,7820,,,,,,,,,,,,,,,,,,,,,,
19156796177,6002,6210,,,,,,,,,,,,,,,,,,,,,,,,,
19156796179,1350,3100,8017,,,,,,,,,,,,,,,,,,,,,,,,
19156796180,1151,1350,,,,,,,,,,,,,,,,,,,,,,,,,
19156796183,1560,2320,7770,7980,,,,,,,,,,,,,,,,,,,,,,,
19156796184,1350,1720,9180,,,,,,,,,,,,,,,,,,,,,,,,
19156796189,7687,7770,7810,7900,,,,,,,,,,,,,,,,,,,,,,,
19156796191,6002,6200,,,,,,,,,,,,,,,,,,,,,,,,,
19156796192,2760,6210,7820,,,,,,,,,,,,,,,,,,,,,,,,
19156796193,4700,6130,,,,,,,,,,,,,,,,,,,,,,,,,
19156796196,8010,91580,,,,,,,,,,,,,,,,,,,,,,,,,
19156796199,1151,2760,3350,6200,,,,,,,,,,,,,,,,,,,,,,,
19156796200,3100,3400,6002,7780,7827,,,,,,,,,,,,,,,,,,,,,,
19156796201,1350,2010,2330,,,,,,,,,,,,,,,,,,,,,,,,
19156796202,2010,5800,7870,,,,,,,,,,,,,,,,,,,,,,,,
19156796205,1151,1350,7770,,,,,,,,,,,,,,,,,,,,,,,,
19156796208,2130,2320,6210,7770,7790,7810,7870,,,,,,,,,,,,,,,,,,,,
19156796212,2560,5800,5900,,,,,,,,,,,,,,,,,,,,,,,,
19156796214,2750,3100,7900,,,,,,,,,,,,,,,,,,,,,,,,
19156796217,2130,2800,7820,,,,,,,,,,,,,,,,,,,,,,,,
19156796218,5000,7690,7780,,,,,,,,,,,,,,,,,,,,,,,,
19156796220,1001,2320,7760,9150,,,,,,,,,,,,,,,,,,,,,,,
19156796221,7640,7710,7760,,,,,,,,,,,,,,,,,,,,,,,,
19156796222,3600,6210,,,,,,,,,,,,,,,,,,,,,,,,,
19156796223,1350,7770,,,,,,,,,,,,,,,,,,,,,,,,,
19156796225,2010,5700,6240,,,,,,,,,,,,,,,,,,,,,,,,
19156796229,2010,5900,,,,,,,,,,,,,,,,,,,,,,,,,
19156796230,4700,6002,,,,,,,,,,,,,,,,,,,,,,,,,
19156796233,2017,7980,91580,,,,,,,,,,,,,,,,,,,,,,,,
19156796234,2130,7667,,,,,,,,,,,,,,,,,,,,,,,,,
19156796235,7760,7900,,,,,,,,,,,,,,,,,,,,,,,,,
19156796236,1460,7640,,,,,,,,,,,,,,,,,,,,,,,,,
19156796240,4840,7910,8010,,,,,,,,,,,,,,,,,,,,,,,,
19156796241,3400,6110,7820,7980,,,,,,,,,,,,,,,,,,,,,,,
19156796243,7820,7980,,,,,,,,,,,,,,,,,,,,,,,,,
19156796245,5700,7650,7827,7980,,,,,,,,,,,,,,,,,,,,,,,
19156796246,1150,1350,3400,,,,,,,,,,,,,,,,,,,,,,,,
19156796249,4800,91580,,,,,,,,,,,,,,,,,,,,,,,,,
19156796252,4120,7770,,,,,,,,,,,,,,,,,,,,,,,,,
19156796253,4910,7670,8705,,,,,,,,,,,,,,,,,,,,,,,,
19156796254,7619,7649,7719,7729,7969,,,,,,,,,,,,,,,,,,,,,,
19156796256,1101,1907,,,,,,,,,,,,,,,,,,,,,,,,,
19156796259,1350,5900,7720,7857,,,,,,,,,,,,,,,,,,,,,,,
19156796261,1250,1860,,,,,,,,,,,,,,,,,,,,,,,,,
19156796266,1900,2320,7620,7770,91531,91580,,,,,,,,,,,,,,,,,,,,,
19156796276,7860,7870,,,,,,,,,,,,,,,,,,,,,,,,,
19156796277,3100,5900,6200,,,,,,,,,,,,,,,,,,,,,,,,
19156796279,1569,5709,7729,7969,9109,,,,,,,,,,,,,,,,,,,,,,
19156796280,6200,6210,7770,7900,,,,,,,,,,,,,,,,,,,,,,,
19156796281,6002,8725,8745,,,,,,,,,,,,,,,,,,,,,,,,
19156796282,9120,9130,,,,,,,,,,,,,,,,,,,,,,,,,
19156796283,2010,7820,,,,,,,,,,,,,,,,,,,,,,,,,
19156796284,1151,2130,,,,,,,,,,,,,,,,,,,,,,,,,
19156796285,1350,1560,3400,,,,,,,,,,,,,,,,,,,,,,,,
19156796287,2560,6002,7640,,,,,,,,,,,,,,,,,,,,,,,,
19156796289,7690,7870,9100,,,,,,,,,,,,,,,,,,,,,,,,
19156796290,6002,6200,,,,,,,,,,,,,,,,,,,,,,,,,
19156796291,7740,7760,,,,,,,,,,,,,,,,,,,,,,,,,
19156796293,1869,3409,7900,,,,,,,,,,,,,,,,,,,,,,,,
19156796296,7690,7760,7830,,,,,,,,,,,,,,,,,,,,,,,,
19156796297,1001,3400,7760,,,,,,,,,,,,,,,,,,,,,,,,
19156796298,6002,6110,6130,7820,,,,,,,,,,,,,,,,,,,,,,,
19156796308,4700,6110,7820,,,,,,,,,,,,,,,,,,,,,,,,
19156796312,8700,8720,,,,,,,,,,,,,,,,,,,,,,,,,
19156796313,4890,7830,9180,,,,,,,,,,,,,,,,,,,,,,,,
19156796317,4800,7900,7980,8760,,,,,,,,,,,,,,,,,,,,,,,
19156796321,4700,6110,,,,,,,,,,,,,,,,,,,,,,,,,
19156796323,3500,6210,,,,,,,,,,,,,,,,,,,,,,,,,
19156796324,6002,6110,,,,,,,,,,,,,,,,,,,,,,,,,
19156796325,1359,1907,2017,,,,,,,,,,,,,,,,,,,,,,,,
19156796327,5000,7600,7670,8500,8510,,,,,,,,,,,,,,,,,,,,,,
19156796330,3350,4800,,,,,,,,,,,,,,,,,,,,,,,,,
19156796331,1250,1469,,,,,,,,,,,,,,,,,,,,,,,,,
19156796332,6100,7660,7820,,,,,,,,,,,,,,,,,,,,,,,,
19156796335,4750,7600,7610,7660,7760,,,,,,,,,,,,,,,,,,,,,,
19156796338,7730,7770,,,,,,,,,,,,,,,,,,,,,,,,,
19156796339,1151,3400,,,,,,,,,,,,,,,,,,,,,,,,,
19156796341,7740,7980,,,,,,,,,,,,,,,,,,,,,,,,,
19156796345,6002,6100,,,,,,,,,,,,,,,,,,,,,,,,,
19156796346,6002,6200,,,,,,,,,,,,,,,,,,,,,,,,,
19156796348,3609,6207,,,,,,,,,,,,,,,,,,,,,,,,,
19156796349,2010,7690,7800,,,,,,,,,,,,,,,,,,,,,,,,
19156796350,6210,6240,,,,,,,,,,,,,,,,,,,,,,,,,
19156796351,7640,7760,,,,,,,,,,,,,,,,,,,,,,,,,
19156796354,8725,8745,,,,,,,,,,,,,,,,,,,,,,,,,
19156796355,1460,1907,7670,7770,,,,,,,,,,,,,,,,,,,,,,,
19156796356,1250,3250,7860,,,,,,,,,,,,,,,,,,,,,,,,
19156796357,6130,7870,,,,,,,,,,,,,,,,,,,,,,,,,
19156796359,5000,5200,,,,,,,,,,,,,,,,,,,,,,,,,
19156796360,2010,3709,7969,,,,,,,,,,,,,,,,,,,,,,,,
19156796366,1150,6110,,,,,,,,,,,,,,,,,,,,,,,,,
19156796367,1907,2010,7647,7659,7827,,,,,,,,,,,,,,,,,,,,,,
19156796368,1350,1720,2130,7690,,,,,,,,,,,,,,,,,,,,,,,
19156796369,2059,6007,7669,8017,,,,,,,,,,,,,,,,,,,,,,,
19156796370,6002,6107,6200,6240,7800,,,,,,,,,,,,,,,,,,,,,,
19156796371,2017,2809,7829,7980,,,,,,,,,,,,,,,,,,,,,,,
19156796372,3350,5800,7710,7980,8010,,,,,,,,,,,,,,,,,,,,,,
19156796374,3600,7960,,,,,,,,,,,,,,,,,,,,,,,,,
19156796378,1159,1869,3409,,,,,,,,,,,,,,,,,,,,,,,,
19156796380,3600,5800,7770,92076,,,,,,,,,,,,,,,,,,,,,,,
19156796381,4707,6240,,,,,,,,,,,,,,,,,,,,,,,,,
19156796384,1051,1250,1460,1560,2010,3250,3350,,,,,,,,,,,,,,,,,,,,
19156796386,2320,5700,,,,,,,,,,,,,,,,,,,,,,,,,
19156796388,3100,4890,7830,,,,,,,,,,,,,,,,,,,,,,,,
19156796389,7619,7649,,,,,,,,,,,,,,,,,,,,,,,,,
19156796390,6002,7770,7980,,,,,,,,,,,,,,,,,,,,,,,,
19156796394,3609,6007,,,,,,,,,,,,,,,,,,,,,,,,,
19156796396,2010,8510,,,,,,,,,,,,,,,,,,,,,,,,,
19156796402,6002,6110,,,,,,,,,,,,,,,,,,,,,,,,,
19156796403,1150,3400,3600,,,,,,,,,,,,,,,,,,,,,,,,
19156796404,1100,1250,6107,6207,7760,,,,,,,,,,,,,,,,,,,,,,
19156796405,3409,7699,9189,,,,,,,,,,,,,,,,,,,,,,,,
19156796406,3600,6002,6110,,,,,,,,,,,,,,,,,,,,,,,,
19156796408,7710,8010,,,,,,,,,,,,,,,,,,,,,,,,,
19156796410,7769,7809,9179,,,,,,,,,,,,,,,,,,,,,,,,
19156796416,1151,1350,,,,,,,,,,,,,,,,,,,,,,,,,
19156796419,1350,2010,7760,,,,,,,,,,,,,,,,,,,,,,,,
19156796422,4700,6002,,,,,,,,,,,,,,,,,,,,,,,,,
19156796423,7610,7660,8010,,,,,,,,,,,,,,,,,,,,,,,,
19156796424,5570,7870,,,,,,,,,,,,,,,,,,,,,,,,,
19156796426,1900,2010,,,,,,,,,,,,,,,,,,,,,,,,,
19156796431,1460,1860,1900,,,,,,,,,,,,,,,,,,,,,,,,
19156796432,7770,7980,,,,,,,,,,,,,,,,,,,,,,,,,
19156796434,7830,8705,,,,,,,,,,,,,,,,,,,,,,,,,
19156796435,3600,6200,,,,,,,,,,,,,,,,,,,,,,,,,
19156796436,2130,3409,3709,7829,9109,9110,,,,,,,,,,,,,,,,,,,,,
19156796438,2130,7780,,,,,,,,,,,,,,,,,,,,,,,,,
19156796439,1350,7730,,,,,,,,,,,,,,,,,,,,,,,,,
19156796440,7789,9100,,,,,,,,,,,,,,,,,,,,,,,,,
19156796441,1250,5570,7617,,,,,,,,,,,,,,,,,,,,,,,,
19156796442,7770,7860,7980,,,,,,,,,,,,,,,,,,,,,,,,
19156796443,3409,7619,7699,7719,7769,7829,7969,,,,,,,,,,,,,,,,,,,,
19156796447,1059,1109,1569,3409,,,,,,,,,,,,,,,,,,,,,,,
19156796449,1150,2017,,,,,,,,,,,,,,,,,,,,,,,,,
19156796450,2010,7780,,,,,,,,,,,,,,,,,,,,,,,,,
19156796455,1350,2750,7760,,,,,,,,,,,,,,,,,,,,,,,,
19156796456,7780,7830,,,,,,,,,,,,,,,,,,,,,,,,,
19156796458,7770,7820,,,,,,,,,,,,,,,,,,,,,,,,,
19156796460,2010,7790,,,,,,,,,,,,,,,,,,,,,,,,,
19156796461,7730,7850,,,,,,,,,,,,,,,,,,,,,,,,,
19156796462,4920,8500,,,,,,,,,,,,,,,,,,,,,,,,,
19156796465,1000,5709,5909,6002,7609,7679,7839,,,,,,,,,,,,,,,,,,,,
19156796468,1900,4600,,,,,,,,,,,,,,,,,,,,,,,,,
19156796472,7830,7870,,,,,,,,,,,,,,,,,,,,,,,,,
19156796473,1000,1250,3500,,,,,,,,,,,,,,,,,,,,,,,,
19156796474,2050,6002,7747,,,,,,,,,,,,,,,,,,,,,,,,
19156796475,1150,1159,1259,1350,2049,3100,3409,6100,7809,7980,,,,,,,,,,,,,,,,,
19156796477,6207,7827,,,,,,,,,,,,,,,,,,,,,,,,,
19156796478,8010,8740,,,,,,,,,,,,,,,,,,,,,,,,,
19156796479,7640,9170,,,,,,,,,,,,,,,,,,,,,,,,,
19156796480,5800,7690,7780,,,,,,,,,,,,,,,,,,,,,,,,
19156796482,1460,5500,7640,7660,7710,8017,,,,,,,,,,,,,,,,,,,,,
19156796483,5900,6240,,,,,,,,,,,,,,,,,,,,,,,,,
19156796484,7610,7640,7670,,,,,,,,,,,,,,,,,,,,,,,,
19156796485,1720,9170,,,,,,,,,,,,,,,,,,,,,,,,,
19156796486,6002,6200,,,,,,,,,,,,,,,,,,,,,,,,,
19156796489,2750,3100,5000,,,,,,,,,,,,,,,,,,,,,,,,
19156796490,6002,6210,9160,,,,,,,,,,,,,,,,,,,,,,,,
19156796491,2800,7600,,,,,,,,,,,,,,,,,,,,,,,,,
19156796492,1350,8715,,,,,,,,,,,,,,,,,,,,,,,,,
19156796494,7770,7820,,,,,,,,,,,,,,,,,,,,,,,,,
19156796495,6002,6200,,,,,,,,,,,,,,,,,,,,,,,,,
19156796497,1720,7660,8520,,,,,,,,,,,,,,,,,,,,,,,,
19156796498,1350,9150,,,,,,,,,,,,,,,,,,,,,,,,,
19156796499,5560,5570,7610,,,,,,,,,,,,,,,,,,,,,,,,
19156796500,5900,7980,,,,,,,,,,,,,,,,,,,,,,,,,
19156796502,1150,7810,,,,,,,,,,,,,,,,,,,,,,,,,
19156796505,7610,7640,7650,,,,,,,,,,,,,,,,,,,,,,,,
19156796506,2010,7770,,,,,,,,,,,,,,,,,,,,,,,,,
19156796507,1569,2809,6137,7690,7820,7830,9179,,,,,,,,,,,,,,,,,,,,
19156796508,1250,1720,,,,,,,,,,,,,,,,,,,,,,,,,
19156796510,1350,1560,6002,8010,,,,,,,,,,,,,,,,,,,,,,,
19156796511,2130,4820,7820,7830,,,,,,,,,,,,,,,,,,,,,,,
19156796518,6130,7690,,,,,,,,,,,,,,,,,,,,,,,,,
19156796519,2010,7980,,,,,,,,,,,,,,,,,,,,,,,,,
19156796520,7699,7809,,,,,,,,,,,,,,,,,,,,,,,,,
19156796522,4700,4707,6107,7860,,,,,,,,,,,,,,,,,,,,,,,
19156796525,1569,2759,,,,,,,,,,,,,,,,,,,,,,,,,
19156796526,1860,3250,,,,,,,,,,,,,,,,,,,,,,,,,
19156796527,1350,6002,,,,,,,,,,,,,,,,,,,,,,,,,
19156796528,7809,9179,,,,,,,,,,,,,,,,,,,,,,,,,
19156796531,7960,9110,,,,,,,,,,,,,,,,,,,,,,,,,
19156796532,3250,5800,7810,7870,,,,,,,,,,,,,,,,,,,,,,,
19156796534,2010,6100,,,,,,,,,,,,,,,,,,,,,,,,,
19156796535,1159,1569,3609,,,,,,,,,,,,,,,,,,,,,,,,
19156796536,1250,1460,3400,7760,9149,9189,,,,,,,,,,,,,,,,,,,,,
19156796538,4890,7690,7800,7820,7860,,,,,,,,,,,,,,,,,,,,,,
19156796540,1101,6200,,,,,,,,,,,,,,,,,,,,,,,,,
19156796546,6100,6200,,,,,,,,,,,,,,,,,,,,,,,,,
